Strain Name	Complete Genome	Subtype	Collection Date	Host	Country	State/Province	Geographic Grouping	Flu Season	Submission Date	Passage History	Specimen Source Health Status	1 PB2	2 PB1	3 PA	4 HA	5 NP	6 NA	7 MP	8 NS	Age	Gender	M2 31N	M2 26F	M2 27A	M2 30T	M2 34E	NA 275Y N1	NA 292K N2	NA 119V N2	NA 294S N2	PB1-F2 66S	PB2 E627K	PB2 D701N	PB2 A199S	PB2 A661T	PB2 V667I	PB2 K702R	PA S409N	NP L136M	M2 A16G	M2 C55F	NS1 T92E	RERRRKKR	Sensitive Drug	Resistant Drug	Submission Date	NCBI Taxon ID	pH1N1-like	US Swine H1 Clade	Global Swine H1 Clade test	H5 Clade	
A/Arizona/15/2018	Yes	H3N2	02/11/2018	Human	USA	Arizona	North America	17-18	2018-08-29	S2 (2018-03-27)	-N/A-	MH792481,MH306781	MH792479,MH306782	MH792477,MH306783	MH792482,MH306784	MH792483,MH306785	MH792476,MH306786	MH792478,MH306787	MH792480,MH306780	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Zanamivir,Oseltamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/16/2018	Yes	H3N2	02/11/2018	Human	USA	Arizona	North America	17-18	2018-05-13	Original	-N/A-	MH306788	MH306789	MH306790	MH306791	MH306792	MH306793	MH306794	MH306795	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	05/13/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/17/2018	Yes	H3N2	03/02/2018	Human	USA	Arizona	North America	17-18	2018-05-22	Original	-N/A-	MH358499	MH358500	MH358501	MH358502	MH358503	MH358504	MH358505	MH358506	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Zanamivir,Oseltamivir	-N/A-	05/22/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/18/2018	Yes	H1N1	03/03/2018	Human	USA	Arizona	North America	17-18	2018-05-22	Original	-N/A-	MH359828	MH359829	MH359830	MH359831	MH359832	MH359833	MH359834	MH359827	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	05/22/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/19/2018	Yes	H1N1	03/06/2018	Human	USA	Arizona	North America	17-18	2018-05-22	Original	-N/A-	MH359835	MH359836	MH359837	MH359838	MH359839	MH359840	MH359841	MH359842	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	05/22/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/20/2018	Yes	H3N2	03/09/2018	Human	USA	Arizona	North America	17-18	2018-09-18	S2 (2018-04-11)	-N/A-	MH898015,MH358507	MH898013,MH358508	MH898011,MH358509	MH898016,MH358510	MH898017,MH358511	MH898010,MH358512	MH898012,MH358513	MH898014,MH358514	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/21/2018	Yes	H3N2	03/05/2018	Human	USA	Arizona	North America	17-18	2018-08-29	S2 (2018-04-17)	-N/A-	MH792489,MH358515	MH792487,MH358516	MH792485,MH358517	MH792490,MH358518	MH792491,MH358519	MH792484,MH358520	MH792486,MH358521	MH792488,MH358522	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Zanamivir,Oseltamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/22/2018	Yes	H1N1	03/13/2018	Human	USA	Arizona	North America	17-18	2018-05-22	Original	-N/A-	MH359843	MH359844	MH359845	MH359846	MH359847	MH359848	MH359849	MH359850	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	05/22/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/23/2018	Yes	H3N2	03/15/2018	Human	USA	Arizona	North America	17-18	2018-08-29	S2 (2018-04-16)	-N/A-	MH792497,MH358523	MH792495,MH358524	MH792493,MH358525	MH792498,MH358526	MH792499,MH358527	MH792492,MH358528	MH792494,MH358530	MH792496,MH358529	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Zanamivir,Oseltamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/26/2018	Yes	H1N1	02/13/2018	Human	USA	Arizona	North America	17-18	2018-06-12	Original	-N/A-	MH446503	MH446502	MH446501	MH446500	MH446499	MH446498	MH446497	MH446496	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	06/12/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/27/2018	Yes	H1N1	03/20/2018	Human	USA	Arizona	North America	17-18	2018-06-12	Original	-N/A-	MH446511	MH446510	MH446509	MH446508	MH446507	MH446506	MH446505	MH446504	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	06/12/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/28/2018	Yes	H3N2	03/24/2018	Human	USA	Arizona	North America	17-18	2018-09-12	S2 (2018-05-07)	-N/A-	MH845797	MH845795	MH845793	MH845798	MH845799	MH845792	MH845794	MH845796	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Zanamivir,Oseltamivir	-N/A-	09/12/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/29/2018	Yes	H1N1	04/12/2018	Human	USA	Arizona	North America	17-18	2018-07-30	Original	-N/A-	MH669928	MH669929	MH669930	MH669931	MH669932	MH669933	MH669934	MH669935	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/30/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/30/2018	Yes	H3N2	04/15/2018	Human	USA	Arizona	North America	17-18	2018-10-27	Original	-N/A-	MK077305	MK077306	MK077307	MK077308	MK077301	MK077302	MK077303	MK077304	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	10/27/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/31/2018	Yes	H3N2	04/15/2018	Human	USA	Arizona	North America	17-18	2018-10-27	S1 (2018-06-11)	-N/A-	MK077314,MH669576	MK077312,MH669577	MK077310,MH669578	MK077315,MH669579	MK077316,MH669580	MK077309,MH669581	MK077311,MH669582	MK077313,MH669583	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Zanamivir,Oseltamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/32/2018	Yes	H3N2	04/26/2018	Human	USA	Arizona	North America	17-18	2018-07-30	Original	-N/A-	MH669584,MH845805	MH669585,MH845803	MH669586,MH845801	MH669587,MH845806	MH669588,MH845807	MH669589,MH845800	MH669590,MH845802	MH669591,MH845804	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/33/2018	Yes	H3N2	05/15/2018	Human	USA	Arizona	North America	17-18	2018-09-12	S2 (2018-06-18)	-N/A-	MH669592,MH845813	MH669593,MH845811	MH669594,MH845809	MH669595,MH845814	MH669596,MH845815	MH669597,MH845808	MH669598,MH845810	MH845812,MH669599	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/34/2018	No	H1	05/25/2018	Human	USA	Arizona	North America	17-18	2018-07-30	Original	-N/A-	MH669854	-N/A-	MH669855	MH669856	MH669857	-N/A-	MH669858	MH669859	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/30/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/35/2018	Yes	H1N1	05/25/2018	Human	USA	Arizona	North America	17-18	2018-07-30	Original	-N/A-	MH669936	MH669937	MH669938	MH669939	MH669940	MH669941	MH669942	MH669943	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	07/30/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/36/2018	Yes	H3N2	05/15/2018	Human	USA	Arizona	North America	17-18	2018-10-27	S1 (2018-06-25)	-N/A-	MK077322,MH729418	MK077320,MH729419	MK077318,MH729420	MK077323,MH729421	MK077324,MH729422	MK077317,MH729423	MK077319,MH729424	MK077321,MH729425	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/37/2018	Yes	H3N2	05/25/2018	Human	USA	Arizona	North America	17-18	2018-08-14	Original	-N/A-	MH729426,MH845821	MH729427,MH845819	MH729428,MH845817	MH729429,MH845822	MH729430,MH845823	MH729431,MH845816	MH729432,MH845818	MH729433,MH845820	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Zanamivir,Oseltamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/53/2017	Yes	H3N2	10/02/2017	Human	USA	Arizona	North America	17-18	2017-11-20	 Original	-N/A-	CY256034	CY256035	CY256036	CY256037	CY256038	CY256039	CY256040	CY256041	79	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	11/20/2017	2054935	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/54/2017	Yes	H3N2	10/09/2017	Human	USA	Arizona	North America	17-18	2017-11-20	 Original	-N/A-	CY256042	CY256043	CY256044	CY256045	CY256046	CY256047	CY256048	CY256049	30	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	11/20/2017	2054936	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/59/2017	Yes	H3N2	10/19/2017	Human	USA	Arizona	North America	17-18	2017-12-22	 Original	-N/A-	CY260707	CY260708	CY260709	CY260710	CY260711	CY260712	CY260713	CY260714	3	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	12/22/2017	2066145	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/60/2017	Yes	H1N1	10/28/2017	Human	USA	Arizona	North America	17-18	2017-12-22	 Original	-N/A-	CY261839	CY261840	CY261841	CY261842	CY261843	CY261844	CY261845	CY261846	6	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	12/22/2017	2066146	Negative	npdm	1A.3.3.2	-N/A-	
A/Arizona/61/2017	Yes	H1N1	10/29/2017	Human	USA	Arizona	North America	17-18	2017-12-22	 Original	-N/A-	CY261831	CY261832	CY261833	CY261834	CY261835	CY261836	CY261837	CY261838	10	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	12/22/2017	2066147	Negative	npdm	1A.3.3.2	-N/A-	
A/Arizona/62/2017	Yes	H3N2	10/30/2017	Human	USA	Arizona	North America	17-18	2017-12-22	 Original	-N/A-	CY260715	CY260716	CY260717	CY260718	CY260719	CY260720	CY260721	CY260722	89	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	12/22/2017	2066148	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/63/2017	Yes	H3N2	11/02/2017	Human	USA	Arizona	North America	17-18	2018-01-08	 Original	-N/A-	CY264081	CY264082	CY264083	CY264084	CY264085	CY264086	CY264087	CY264088	65	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	01/08/2018	2069493	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/6361/2017	No	H3N2	10/31/2017	Human	USA	Arizona	North America	17-18	2018-05-10	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH294708	-N/A-	-N/A-	-N/A-	-N/A-	58	M	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	05/10/2018	11320	Probable Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/64/2017	Yes	H1N1	11/06/2017	Human	USA	Arizona	North America	17-18	2018-02-27	C1 (2017-12-14)	-N/A-	MG978466,CY261990	MG978464,CY261991	MG978462,CY261992	MG978467,CY261993	MG978468,CY261994	MG978461,CY261995	MG978463,CY261996	MG978465,CY261997	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/6439/2017	No	H3N2	12/12/2017	Human	USA	Arizona	North America	17-18	2018-05-10	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH294805	-N/A-	-N/A-	-N/A-	-N/A-	39	M	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	05/10/2018	11320	Probable Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/6440/2017	No	H3N2	12/12/2017	Human	USA	Arizona	North America	17-18	2018-05-10	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH294806	-N/A-	-N/A-	-N/A-	-N/A-	26	F	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	05/10/2018	11320	Probable Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/6441/2017	No	H3N2	12/13/2017	Human	USA	Arizona	North America	17-18	2018-05-10	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH294807	-N/A-	-N/A-	-N/A-	-N/A-	33	F	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	05/10/2018	11320	Probable Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/65/2017	Yes	H1N1	11/07/2017	Human	USA	Arizona	North America	17-18	2017-12-22	 Original	-N/A-	CY261998	CY261999	CY262000	CY262001	CY262002	CY262003	CY262004	CY262005	1	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	12/22/2017	2066150	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/6517/2018	No	H3N2	01/02/2018	Human	USA	Arizona	North America	17-18	2018-05-10	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH294883	-N/A-	-N/A-	-N/A-	-N/A-	20	F	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	05/10/2018	11320	Probable Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/66/2017	Yes	H3N2	11/07/2017	Human	USA	Arizona	North America	17-18	2018-01-08	 Original	-N/A-	CY264089	CY264090	CY264091	CY264092	CY264093	CY264094	CY264095	CY264096	34	F	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	01/08/2018	2069494	Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/6619/2018	No	H3N2	01/08/2018	Human	USA	Arizona	North America	17-18	2018-08-26	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH778967	-N/A-	-N/A-	-N/A-	-N/A-	3	M	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	08/26/2018	11320	Probable Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/6666/2018	No	H3N2	01/02/2018	Human	USA	Arizona	North America	17-18	2018-08-26	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH779014	-N/A-	-N/A-	-N/A-	-N/A-	27	M	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	08/26/2018	11320	Probable Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/6667/2018	No	H3N2	01/04/2018	Human	USA	Arizona	North America	17-18	2018-08-26	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH779015	-N/A-	-N/A-	-N/A-	-N/A-	22	F	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	08/26/2018	11320	Probable Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/67/2017	Yes	H1N1	11/20/2017	Human	USA	Arizona	North America	17-18	2018-03-24	C1 (2017-12-21)	-N/A-	MH083335,CY263347	MH083333,CY263348	MH083331,CY263349	MH083336,CY263350	MH083337,CY263351	MH083330,CY263352	MH083332,CY263353	MH083334,CY263354	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Arizona/6758/2018	No	H3N2	01/09/2018	Human	USA	Arizona	North America	17-18	2018-09-15	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH885172	-N/A-	-N/A-	-N/A-	-N/A-	56	F	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	09/15/2018	11320	Probable Negative	-N/A-	-N/A-	-N/A-	
A/Arizona/6759/2018	No	H1N1	01/23/2018	Human	USA	Arizona	North America	17-18	2018-09-15	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	MH885173	-N/A-	-N/A-	-N/A-	-N/A-	36	M	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	Segment/protein not present	No	-N/A-	-N/A-	09/15/2018	11320	Probable Negative	npdm	1A.3.3.2	-N/A-	
